AppSize(Bytes),AppRestriction,AppType,SupportDeviceNum,DisplayedScreenshotNum,SupportLanguageNum
517828608,12+,Games,43,5,1
1861763441,17+,Games,43,5,12
79857664,4+,Games,38,5,1
209452032,9+,Games,40,5,2
92713984,9+,Games,37,5,14
36301672,9+,Games,43,0,1
507508522,9+,Games,43,0,1
123644928,12+,Games,43,5,1
214679552,9+,Games,43,5,9
1344401408,12+,Games,40,5,16
34025472,4+,Games,43,5,1
90853376,4+,Games,40,5,11
124532736,4+,Games,40,0,11
179580928,4+,Games,26,5,5
235767808,4+,Games,38,5,1
1820196864,17+,Games,43,5,12
27196416,4+,Games,38,0,1
1551412224,12+,Games,37,0,1
197306368,4+,Games,37,3,1
175780864,12+,Games,40,3,1
168557568,4+,Games,37,5,11
117258240,4+,Games,37,5,1
31578112,4+,Games,40,4,5
968384512,9+,Games,38,5,8
111875072,9+,Games,37,1,1
63676416,4+,Games,37,0,1
108813312,9+,Games,38,5,3
164236288,4+,Games,24,5,1
144414720,4+,Games,38,5,28
258739200,12+,Games,37,5,14
196291794,12+,Games,43,0,1
21745664,4+,Games,37,5,8
248307057,9+,Games,26,5,6
337177600,9+,Games,37,5,2
170055680,4+,Games,37,5,6
68499456,9+,Games,38,5,1
56817664,4+,Games,38,5,4
695603200,12+,Games,38,5,12
87581696,4+,Games,38,5,1
31039488,9+,Games,43,0,8
29511680,9+,Games,26,5,8
90374144,4+,Games,40,5,6
524803072,4+,Games,37,5,10
41246720,4+,Games,40,4,1
91591680,4+,Games,38,5,1
375949016,9+,Games,26,5,4
880267264,17+,Games,43,4,1
114197504,4+,Games,38,5,30
54852324,4+,Games,43,5,1
113278913,9+,Games,26,5,5
158416896,4+,Games,43,5,1
52539392,12+,Games,43,5,1
285982720,4+,Games,26,5,13
15481361,12+,Games,43,5,1
509022208,12+,Games,40,5,1
310633804,4+,Games,43,0,1
1861763441,17+,Games,43,5,12
120819712,12+,Games,43,3,2
20885504,4+,Games,37,5,1
124789760,4+,Games,37,5,14
63201280,12+,Games,43,5,1
49839104,4+,Games,37,5,1
147787776,9+,Games,37,1,11
99593216,4+,Games,37,0,5
726392832,17+,Games,43,4,7
46876672,4+,Games,38,0,1
63226880,4+,Games,37,0,11
1807310848,12+,Games,43,5,8
71846912,4+,Games,37,5,1
42018816,4+,Games,38,5,2
185228498,4+,Games,43,5,3
501567488,12+,Games,40,5,1
305618944,4+,Games,43,5,3
95601664,4+,Games,37,5,8
45689856,12+,Games,37,5,6
1560187904,4+,Games,38,5,1
60937216,4+,Games,38,5,19
226961408,12+,Games,37,5,1
